opening_quotation,date,high,market,company_name,turnover,code,closing_quotation,low
2226,2015-01-05T00:00:00.000Z,2255,東証１部,2802 味の素,1467000,2802,2240,2210
2195,2015-01-06T00:00:00.000Z,2215,東証１部,2802 味の素,2303000,2802,2192,2177
2175,2015-01-07T00:00:00.000Z,2233,東証１部,2802 味の素,3220000,2802,2192,2175
2210,2015-01-08T00:00:00.000Z,2245,東証１部,2802 味の素,3214000,2802,2213,2205
2207,2015-01-09T00:00:00.000Z,2222,東証１部,2802 味の素,2630000,2802,2195,2182
2185,2015-01-13T00:00:00.000Z,2219,東証１部,2802 味の素,2588000,2802,2219,2163
2219,2015-01-14T00:00:00.000Z,2275,東証１部,2802 味の素,3046000,2802,2253,2218
2249,2015-01-15T00:00:00.000Z,2286,東証１部,2802 味の素,2280000,2802,2273,2234
2240,2015-01-16T00:00:00.000Z,2266,東証１部,2802 味の素,3089000,2802,2231,2189
2264,2015-01-19T00:00:00.000Z,2304,東証１部,2802 味の素,2049000,2802,2298,2256
2309,2015-01-20T00:00:00.000Z,2343,東証１部,2802 味の素,1952000,2802,2343,2303
2329,2015-01-21T00:00:00.000Z,2350,東証１部,2802 味の素,2235000,2802,2324,2305
2340,2015-01-22T00:00:00.000Z,2370,東証１部,2802 味の素,2284000,2802,2370,2323
2399,2015-01-23T00:00:00.000Z,2412,東証１部,2802 味の素,2314000,2802,2363,2347
2415,2015-01-27T00:00:00.000Z,2475,東証１部,2802 味の素,2500000,2802,2472,2414
2455,2015-01-28T00:00:00.000Z,2500,東証１部,2802 味の素,2718000,2802,2495,2447
2490,2015-01-29T00:00:00.000Z,2516,東証１部,2802 味の素,3101000,2802,2491,2468
2530,2015-01-30T00:00:00.000Z,2550,東証１部,2802 味の素,4249000,2802,2439,2422
2300,2015-02-02T00:00:00.000Z,2329,東証１部,2802 味の素,4688000,2802,2320,2266
2345,2015-02-03T00:00:00.000Z,2353,東証１部,2802 味の素,5375000,2802,2246,2232
2286,2015-02-04T00:00:00.000Z,2294,東証１部,2802 味の素,3417000,2802,2268,2240
2289,2015-02-05T00:00:00.000Z,2299,東証１部,2802 味の素,4255000,2802,2232,2227
2245,2015-02-06T00:00:00.000Z,2246,東証１部,2802 味の素,4244000,2802,2188,2182
2228,2015-02-09T00:00:00.000Z,2229,東証１部,2802 味の素,2633000,2802,2220,2190
2226,2015-02-10T00:00:00.000Z,2230,東証１部,2802 味の素,1993000,2802,2208,2191
2258,2015-02-12T00:00:00.000Z,2294,東証１部,2802 味の素,2804000,2802,2259,2247
2255,2015-02-13T00:00:00.000Z,2265,東証１部,2802 味の素,2294000,2802,2242,2240
